ML Catalog Number,Format,Common Name,Scientific Name,Background Species,Caption,Recordist,Date,Year,Month,Day,Time,Country,Country-State-County,State,County,Locality,Latitude,Longitude,Age/Sex,Behaviors,Playback,Captive,Collected,Specimen ID,Home Archive Catalog Number,Recorder,Microphone,Accessory,Partner Institution,eBird Checklist ID,Unconfirmed,Air Temp(°C),Water Temp(°C),Media notes,Observation Details,Parent Species,eBird Species Code,Taxon Category,Taxonomic Sort,Recordist 2,Average Community Rating,Number of Ratings,Asset Tags,Original Image Height,Original Image Width
661074674,Photo,Yellow-bellied Chat-Tyrant,Silvicultrix diadema,,,Ian Burgess,2025-09-02,2025,9,2,834,Colombia,CO-CAL,Caldas,,Hacienda El Bosque,5.0246844,-75.3695476,"",,Unspecified,false,false,,,,,,,S271122306,"",,,,,Silvicultrix diadema,yebcht1,Species,17181,,.00,0,,1595,2391
661074609,Photo,Brown-backed Chat-Tyrant,Ochthoeca fumicolor,,,Ian Burgess,2025-09-02,2025,9,2,834,Colombia,CO-CAL,Caldas,,Hacienda El Bosque,5.0246844,-75.3695476,"",,Unspecified,false,false,,,,,,,S271122306,"",,,,,Ochthoeca fumicolor,bbctyr1,Species,17202,,.00,0,,1539,2041
661074602,Photo,Blue-and-black Tanager,Tangara vassorii,,,Ian Burgess,2025-09-02,2025,9,2,834,Colombia,CO-CAL,Caldas,,Hacienda El Bosque,5.0246844,-75.3695476,"",,Unspecified,false,false,,,,,,,S271122306,"",,,,,Tangara vassorii,babtan1,Species,35036,,.00,0,,917,1217
661074593,Photo,Grass Wren,Cistothorus platensis,,,Ian Burgess,2025-09-02,2025,9,2,834,Colombia,CO-CAL,Caldas,,Hacienda El Bosque,5.0246844,-75.3695476,"",,Unspecified,false,false,,,,,,,S271122306,"",,,,,Cistothorus platensis,sedwre,Species,27304,,.00,0,,3481,4621
661074592,Photo,Grass Wren,Cistothorus platensis,,,Ian Burgess,2025-09-02,2025,9,2,834,Colombia,CO-CAL,Caldas,,Hacienda El Bosque,5.0246844,-75.3695476,"",,Unspecified,false,false,,,,,,,S271122306,"",,,,,Cistothorus platensis,sedwre,Species,27304,,.00,0,,2923,3879
661074586,Photo,Northern Slaty Brushfinch,Atlapetes schistaceus,,,Ian Burgess,2025-09-02,2025,9,2,834,Colombia,CO-CAL,Caldas,,Hacienda El Bosque,5.0246844,-75.3695476,"",,Unspecified,false,false,,,,,,,S271122306,"",,,,,Atlapetes schistaceus,slabru1,Species,33474,,.00,0,,1777,2664
661074584,Photo,Mountain Wren,Troglodytes solstitialis,,,Ian Burgess,2025-09-02,2025,9,2,834,Colombia,CO-CAL,Caldas,,Hacienda El Bosque,5.0246844,-75.3695476,"",,Unspecified,false,false,,,,,,,S271122306,"",,,,,Troglodytes solstitialis,mouwre1,Species,27245,,.00,0,,1657,2483
661074576,Photo,Mountain Wren,Troglodytes solstitialis,,,Ian Burgess,2025-09-02,2025,9,2,834,Colombia,CO-CAL,Caldas,,Hacienda El Bosque,5.0246844,-75.3695476,"",,Unspecified,false,false,,,,,,,S271122306,"",,,,,Troglodytes solstitialis,mouwre1,Species,27245,,.00,0,,2009,3013
661074120,Photo,Mountain Velvetbreast,Lafresnaya lafresnayi,,,Ian Burgess,2025-09-02,2025,9,2,834,Colombia,CO-CAL,Caldas,,Hacienda El Bosque,5.0246844,-75.3695476,"",,Unspecified,false,false,,,,,,,S271122306,"",,,,,Lafresnaya lafresnayi,mouvel1,Species,4659,,.00,0,,2196,2915
661070991,Photo,Lacrimose Mountain Tanager,Anisognathus lacrymosus,,,Ian Burgess,2025-09-02,2025,9,2,834,Colombia,CO-CAL,Caldas,,Hacienda El Bosque,5.0246844,-75.3695476,"",,Unspecified,false,false,,,,,,,S271122306,"",,,,,Anisognathus lacrymosus,lamtan1,Species,34872,,.00,0,,861,1143
